,GENE NAME,GENE ID
400,AFF1,ENSG00000172493
401,AFF2,ENSG00000155966
402,AFF3,ENSG00000144218
403,AFF4,ENSG00000072364
404,AFG1L,ENSG00000135537
405,AFG3L2,ENSG00000141385
406,AFM,ENSG00000079557
407,AFMID,ENSG00000183077
408,AFP,ENSG00000081051
409,AFTPH,ENSG00000119844
410,AGA,ENSG00000038002
411,AGAP1,ENSG00000157985
412,AGAP2,ENSG00000135439
413,AGAP3,ENSG00000133612
414,AGAP4,ENSG00000188234
415,AGAP5,ENSG00000172650
416,AGAP6,ENSG00000204149
417,AGAP9,ENSG00000204172
418,AGBL1,ENSG00000273540
419,AGBL2,ENSG00000165923
420,AGBL3,ENSG00000146856
421,AGBL4,ENSG00000186094
422,AGBL5,ENSG00000084693
423,AGER,ENSG00000204305
424,AGFG1,ENSG00000173744
425,AGFG2,ENSG00000106351
426,AGGF1,ENSG00000164252
427,AGK,ENSG00000006530
428,AGL,ENSG00000162688
429,AGMAT,ENSG00000116771
430,AGMO,ENSG00000187546
431,AGO1,ENSG00000092847
432,AGO2,ENSG00000123908
433,AGO3,ENSG00000126070
434,AGO4,ENSG00000134698
435,AGPAT1,ENSG00000204310
436,AGPAT2,ENSG00000169692
437,AGPAT3,ENSG00000160216
438,AGPAT4,ENSG00000026652
439,AGPAT5,ENSG00000155189
440,AGPS,ENSG00000018510
441,AGR2,ENSG00000106541
442,AGR3,ENSG00000173467
443,AGRN,ENSG00000188157
444,AGRP,ENSG00000159723
445,AGT,ENSG00000135744
446,AGTPBP1,ENSG00000135049
447,AGTR1,ENSG00000144891
448,AGTR2,ENSG00000180772
449,AGTRAP,ENSG00000177674
450,AGXT,ENSG00000172482
451,AGXT2,ENSG00000113492
452,AHCTF1,ENSG00000153207
453,AHCY,ENSG00000101444
454,AHCYL1,ENSG00000168710
455,AHCYL2,ENSG00000158467
456,AHDC1,ENSG00000126705
457,AHI1,ENSG00000135541
458,AHNAK,ENSG00000124942
459,AHNAK2,ENSG00000185567
460,AHR,ENSG00000106546
