,GENE ID
196,ENSG00000225833
197,ENSG00000224353
198,ENSG00000167769
199,ENSG00000177076
200,ENSG00000180105
201,ENSG00000078124
202,ENSG00000087085
203,ENSG00000100813
204,ENSG00000213088
205,ENSG00000144648
206,ENSG00000144476
207,ENSG00000129048
208,ENSG00000225415
209,ENSG00000131473
210,ENSG00000153086
211,ENSG00000227411
212,ENSG00000122729
213,ENSG00000100412
214,ENSG00000102794
215,ENSG00000184227
216,ENSG00000119673
217,ENSG00000177465
218,ENSG00000205669
219,ENSG00000097021
220,ENSG00000101473
221,ENSG00000123130
222,ENSG00000162390
223,ENSG00000172497
224,ENSG00000112304
225,ENSG00000161533
226,ENSG00000168306
227,ENSG00000087008
228,ENSG00000153093
229,ENSG00000204581
230,ENSG00000143727
231,ENSG00000134575
232,ENSG00000014257
233,ENSG00000142513
234,ENSG00000102575
235,ENSG00000162836
236,ENSG00000183760
237,ENSG00000100312
238,ENSG00000111644
239,ENSG00000175509
240,ENSG00000134940
241,ENSG00000103740
242,ENSG00000130377
243,ENSG00000167107
244,ENSG00000176715
245,ENSG00000151726
246,ENSG00000123983
247,ENSG00000234193
248,ENSG00000068366
249,ENSG00000197142
250,ENSG00000164398
251,ENSG00000223548
252,ENSG00000166743
253,ENSG00000183747
254,ENSG00000066813
255,ENSG00000005187
256,ENSG00000215009
257,ENSG00000183549
258,ENSG00000260762
259,ENSG00000173124
260,ENSG00000154930
261,ENSG00000131069
262,ENSG00000111058
263,ENSG00000143632
264,ENSG00000107796
265,ENSG00000180139
266,ENSG00000075624
267,ENSG00000169067
268,ENSG00000229145
269,ENSG00000213763
270,ENSG00000286676
271,ENSG00000203413
272,ENSG00000185607
273,ENSG00000220267
274,ENSG00000266920
275,ENSG00000188460
276,ENSG00000233125
277,ENSG00000229001
278,ENSG00000213857
279,ENSG00000159251
280,ENSG00000172900
281,ENSG00000184009
282,ENSG00000178631
283,ENSG00000229129
284,ENSG00000215388
285,ENSG00000236085
286,ENSG00000229349
287,ENSG00000231340
288,ENSG00000229465
289,ENSG00000226642
290,ENSG00000241305
291,ENSG00000230581
292,ENSG00000259904
293,ENSG00000260298
294,ENSG00000259315
295,ENSG00000218475
296,ENSG00000237999
297,ENSG00000241547
298,ENSG00000232672
299,ENSG00000271615
300,ENSG00000230362
301,ENSG00000226359
302,ENSG00000234996
303,ENSG00000163017
304,ENSG00000136518
305,ENSG00000077080
306,ENSG00000187003
307,ENSG00000148156
308,ENSG00000117148
309,ENSG00000181786
310,ENSG00000288649
311,ENSG00000234667
