,GENE ID
0,ENSG00000121410
1,ENSG00000268895
2,ENSG00000148584
3,ENSG00000175899
4,ENSG00000245105
5,ENSG00000166535
6,ENSG00000256661
7,ENSG00000256904
8,ENSG00000256069
9,ENSG00000184389
10,ENSG00000128274
11,ENSG00000118017
12,ENSG00000094914
13,ENSG00000081760
14,ENSG00000250420
15,ENSG00000114771
16,ENSG00000197953
17,ENSG00000242908
18,ENSG00000188984
19,ENSG00000204518
20,ENSG00000240602
21,ENSG00000109576
22,ENSG00000103591
23,ENSG00000115977
24,ENSG00000087884
25,ENSG00000127837
26,ENSG00000129673
27,ENSG00000131043
28,ENSG00000205002
29,ENSG00000090861
30,ENSG00000249038
31,ENSG00000124608
32,ENSG00000266967
33,ENSG00000234969
34,ENSG00000157426
35,ENSG00000149313
36,ENSG00000008311
37,ENSG00000215458
38,ENSG00000275700
39,ENSG00000181409
40,ENSG00000281376
41,ENSG00000183044
42,ENSG00000165029
43,ENSG00000107331
44,ENSG00000167972
45,ENSG00000257408
46,ENSG00000198691
47,ENSG00000154265
48,ENSG00000154262
49,ENSG00000064687
50,ENSG00000141338
51,ENSG00000154258
52,ENSG00000231749
53,ENSG00000154263
54,ENSG00000251595
55,ENSG00000144452
56,ENSG00000179869
57,ENSG00000189149
58,ENSG00000238098
59,ENSG00000085563
60,ENSG00000005471
61,ENSG00000004846
62,ENSG00000115657
63,ENSG00000131269
64,ENSG00000197150
65,ENSG00000150967
66,ENSG00000135776
67,ENSG00000274099
68,ENSG00000261524
69,ENSG00000260053
70,ENSG00000073734
71,ENSG00000103222
72,ENSG00000023839
73,ENSG00000108846
74,ENSG00000125257
75,ENSG00000114770
76,ENSG00000223882
77,ENSG00000091262
78,ENSG00000256340
79,ENSG00000255277
80,ENSG00000006071
81,ENSG00000069431
82,ENSG00000124574
83,ENSG00000121270
84,ENSG00000140798
85,ENSG00000243064
86,ENSG00000101986
87,ENSG00000215151
88,ENSG00000261233
89,ENSG00000225293
90,ENSG00000214330
91,ENSG00000173208
92,ENSG00000117528
93,ENSG00000119688
94,ENSG00000164163
95,ENSG00000204574
96,ENSG00000033050
97,ENSG00000285292
98,ENSG00000242159
99,ENSG00000228769
100,ENSG00000161204
101,ENSG00000160179
102,ENSG00000118777
103,ENSG00000172350
104,ENSG00000138075
105,ENSG00000143921
106,ENSG00000143994
107,ENSG00000140526
108,ENSG00000158201
109,ENSG00000100439
110,ENSG00000011198
111,ENSG00000163686
112,ENSG00000127220
113,ENSG00000144827
114,ENSG00000106077
115,ENSG00000100997
116,ENSG00000131969
117,ENSG00000139826
118,ENSG00000248487
119,ENSG00000114786
120,ENSG00000114779
121,ENSG00000168792
122,ENSG00000264031
123,ENSG00000204427
124,ENSG00000183260
125,ENSG00000129968
126,ENSG00000198658
127,ENSG00000250536
128,ENSG00000229107
129,ENSG00000263366
130,ENSG00000226981
131,ENSG00000260864
132,ENSG00000260540
133,ENSG00000261536
134,ENSG00000107362
135,ENSG00000136379
136,ENSG00000164074
137,ENSG00000136754
138,ENSG00000271484
139,ENSG00000138443
140,ENSG00000108798
141,ENSG00000154175
142,ENSG00000119328
143,ENSG00000251106
144,ENSG00000097007
145,ENSG00000143322
146,ENSG00000099204
147,ENSG00000163995
148,ENSG00000173210
149,ENSG00000175164
150,ENSG00000159842
151,ENSG00000235361
152,ENSG00000174429
153,ENSG00000146386
154,ENSG00000163322
155,ENSG00000213431
156,ENSG00000253384
157,ENSG00000165660
158,ENSG00000146109
159,ENSG00000250496
160,ENSG00000114626
161,ENSG00000166016
162,ENSG00000151136
163,ENSG00000060971
164,ENSG00000167315
165,ENSG00000233585
166,ENSG00000278540
167,ENSG00000076555
168,ENSG00000151498
169,ENSG00000177646
170,ENSG00000287110
171,ENSG00000111271
172,ENSG00000240303
173,ENSG00000115361
174,ENSG00000117054
175,ENSG00000122971
176,ENSG00000196177
177,ENSG00000072778
178,ENSG00000157766
179,ENSG00000072818
180,ENSG00000114331
181,ENSG00000229325
182,ENSG00000131584
183,ENSG00000075239
184,ENSG00000120437
185,ENSG00000182827
186,ENSG00000234478
187,ENSG00000181513
188,ENSG00000107897
189,ENSG00000230124
190,ENSG00000176244
191,ENSG00000110455
192,ENSG00000205126
193,ENSG00000102977
194,ENSG00000159640
195,ENSG00000130234
196,ENSG00000225833
197,ENSG00000224353
198,ENSG00000167769
199,ENSG00000177076
200,ENSG00000180105
201,ENSG00000078124
202,ENSG00000087085
203,ENSG00000100813
204,ENSG00000213088
205,ENSG00000144648
206,ENSG00000144476
207,ENSG00000129048
208,ENSG00000225415
209,ENSG00000131473
210,ENSG00000153086
211,ENSG00000227411
212,ENSG00000122729
213,ENSG00000100412
214,ENSG00000102794
215,ENSG00000184227
216,ENSG00000119673
217,ENSG00000177465
218,ENSG00000205669
219,ENSG00000097021
220,ENSG00000101473
221,ENSG00000123130
222,ENSG00000162390
223,ENSG00000172497
224,ENSG00000112304
225,ENSG00000161533
226,ENSG00000168306
227,ENSG00000087008
228,ENSG00000153093
229,ENSG00000204581
230,ENSG00000143727
231,ENSG00000134575
232,ENSG00000014257
233,ENSG00000142513
234,ENSG00000102575
235,ENSG00000162836
236,ENSG00000183760
237,ENSG00000100312
238,ENSG00000111644
239,ENSG00000175509
240,ENSG00000134940
241,ENSG00000103740
242,ENSG00000130377
243,ENSG00000167107
244,ENSG00000176715
245,ENSG00000151726
246,ENSG00000123983
247,ENSG00000234193
248,ENSG00000068366
249,ENSG00000197142
250,ENSG00000164398
251,ENSG00000223548
252,ENSG00000166743
253,ENSG00000183747
254,ENSG00000066813
255,ENSG00000005187
256,ENSG00000215009
257,ENSG00000183549
258,ENSG00000260762
259,ENSG00000173124
260,ENSG00000154930
261,ENSG00000131069
262,ENSG00000111058
263,ENSG00000143632
264,ENSG00000107796
265,ENSG00000180139
266,ENSG00000075624
